Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,82.139999,82.220001,82.059998,82.209999,62.777428,884200
2014-05-28,82.320000,82.510002,82.320000,82.480003,62.983593,708300
2014-05-29,82.500000,82.599998,82.400002,82.410004,62.930126,1413700
2014-05-30,82.339996,82.400002,82.300003,82.330002,62.869080,1462600
2014-06-02,82.059998,82.129997,81.930000,81.949997,62.715248,1071100
2014-06-03,81.879997,81.900002,81.739998,81.750000,62.562199,652700
2014-06-04,81.800003,81.809998,81.680000,81.760002,62.569847,1466400
2014-06-05,81.739998,81.879997,81.730003,81.849998,62.638687,611600
2014-06-06,82.000000,82.019997,81.820000,81.839996,62.631050,1039800
2014-06-09,81.820000,81.820000,81.709999,81.769997,62.577477,1205400
2014-06-10,81.669998,81.699997,81.599998,81.610001,62.455021,1505400
2014-06-11,81.709999,81.730003,81.620003,81.639999,62.478001,1646000
2014-06-12,81.699997,81.889999,81.650002,81.849998,62.638687,1693500
2014-06-13,81.680000,81.860001,81.669998,81.830002,62.623390,835600
2014-06-16,81.800003,81.870003,81.760002,81.809998,62.608120,3534000
2014-06-17,81.720001,81.739998,81.620003,81.620003,62.462673,612900
2014-06-18,81.709999,81.849998,81.660004,81.830002,62.623390,1495900
2014-06-19,81.959999,81.970001,81.690002,81.760002,62.569847,3345400
2014-06-20,81.699997,81.820000,81.699997,81.809998,62.608120,2863700
2014-06-23,81.900002,81.910004,81.760002,81.779999,62.585094,1136900
2014-06-24,81.889999,81.949997,81.800003,81.930000,62.699909,1305800
2014-06-25,82.110001,82.129997,81.989998,82.040001,62.784115,1928000
2014-06-26,82.110001,82.199997,82.070000,82.150002,62.868309,533200
2014-06-27,82.199997,82.239998,82.129997,82.150002,62.868309,633900
2014-06-30,82.199997,82.230003,82.129997,82.220001,62.921883,904900
2014-07-01,81.919998,81.980003,81.870003,81.889999,62.800720,1288100
2014-07-02,81.800003,81.800003,81.660004,81.669998,62.631962,981800
2014-07-03,81.550003,81.639999,81.500000,81.570000,62.555267,667100
2014-07-07,81.639999,81.690002,81.629997,81.669998,62.631962,1656900
2014-07-08,81.809998,81.879997,81.779999,81.820000,62.746979,1397600
2014-07-09,81.809998,81.930000,81.750000,81.900002,62.808388,1275800
2014-07-10,82.010002,82.050003,81.900002,81.919998,62.823658,665400
2014-07-11,82.029999,82.099998,81.989998,82.040001,62.915726,958600
2014-07-14,82.000000,82.000000,81.889999,81.919998,62.823658,994700
2014-07-15,81.870003,81.980003,81.790001,81.860001,62.777679,3125400
2014-07-16,81.889999,81.919998,81.839996,81.889999,62.800720,767200
2014-07-17,82.050003,82.169998,81.980003,82.110001,62.969410,841700
2014-07-18,82.150002,82.150002,82.019997,82.110001,62.969410,1146600
2014-07-21,82.129997,82.220001,82.110001,82.110001,62.969410,2327800
2014-07-22,82.169998,82.220001,82.089996,82.220001,63.053795,776700
2014-07-23,82.260002,82.290001,82.169998,82.180000,63.023109,1361700
2014-07-24,82.099998,82.099998,81.980003,82.019997,62.900356,800900
2014-07-25,82.129997,82.180000,82.089996,82.169998,63.015419,1414500
2014-07-28,82.199997,82.220001,82.089996,82.150002,63.000122,1249900
2014-07-29,82.230003,82.269997,82.120003,82.220001,63.053795,1271300
2014-07-30,82.070000,82.070000,81.849998,81.910004,62.816013,1913600
2014-07-31,81.769997,81.919998,81.750000,81.820000,62.746979,3113700
2014-08-01,81.779999,81.959999,81.660004,81.919998,62.956005,3550300
2014-08-04,81.970001,82.089996,81.930000,82.029999,63.040600,4089900
2014-08-05,81.970001,82.019997,81.870003,81.919998,62.956005,3960800
2014-08-06,82.040001,82.080002,81.980003,82.010002,63.025185,2925900
2014-08-07,82.050003,82.199997,81.989998,82.190002,63.163517,2207500
2014-08-08,82.230003,82.330002,82.120003,82.129997,63.117466,1608500
2014-08-11,82.180000,82.230003,82.110001,82.169998,63.148170,928800
2014-08-12,82.180000,82.180000,82.080002,82.099998,63.094391,2365300
2014-08-13,82.169998,82.279999,82.120003,82.250000,63.209671,944100
2014-08-14,82.370003,82.379997,82.209999,82.330002,63.271141,2623800
2014-08-15,82.389999,82.639999,82.349998,82.480003,63.386383,6875700
2014-08-18,82.410004,82.430000,82.300003,82.309998,63.255749,4011900
2014-08-19,82.400002,82.410004,82.239998,82.300003,63.248074,1674900
2014-08-20,82.260002,82.290001,82.129997,82.180000,63.155876,5183000
2014-08-21,82.220001,82.309998,82.209999,82.269997,63.225025,3563500
2014-08-22,82.269997,82.330002,82.129997,82.269997,63.225025,1193000
2014-08-25,82.320000,82.339996,82.260002,82.300003,63.248074,1897400
2014-08-26,82.379997,82.389999,82.300003,82.339996,63.278816,1317100
2014-08-27,82.410004,82.489998,82.360001,82.470001,63.378754,1062900
2014-08-28,82.599998,82.620003,82.519997,82.580002,63.463253,685500
2014-08-29,82.540001,82.629997,82.529999,82.580002,63.463253,1081300
2014-09-02,82.250000,82.250000,82.110001,82.120003,63.246861,1211100
2014-09-03,82.089996,82.260002,82.059998,82.260002,63.354668,972800
2014-09-04,82.190002,82.230003,82.080002,82.120003,63.246861,1882600
2014-09-05,82.160004,82.209999,82.040001,82.089996,63.223732,1872800
2014-09-08,82.190002,82.220001,82.010002,82.029999,63.177509,2740700
2014-09-09,81.919998,81.970001,81.870003,81.889999,63.069714,1288600
2014-09-10,81.800003,81.800003,81.739998,81.739998,62.954151,2719000
2014-09-11,81.849998,81.860001,81.680000,81.680000,62.907944,2529000
2014-09-12,81.599998,81.629997,81.510002,81.550003,62.807858,1921700
2014-09-15,81.599998,81.629997,81.550003,81.589996,62.838627,2550500
2014-09-16,81.599998,81.680000,81.550003,81.559998,62.815517,1077700
2014-09-17,81.650002,81.690002,81.459999,81.459999,62.738518,2606500
2014-09-18,81.470001,81.480003,81.410004,81.470001,62.746227,1802900
2014-09-19,81.510002,81.639999,81.459999,81.639999,62.877140,1238900
2014-09-22,81.699997,81.769997,81.669998,81.739998,62.954151,638400
2014-09-23,81.779999,81.800003,81.720001,81.779999,62.984928,986900
2014-09-24,81.790001,81.830002,81.699997,81.730003,62.946457,3552500
2014-09-25,81.820000,81.940002,81.809998,81.930000,63.100483,3152500
2014-09-26,81.849998,81.910004,81.769997,81.849998,63.038864,3500300
2014-09-29,81.959999,81.980003,81.910004,81.949997,63.115925,9772600
2014-09-30,81.930000,82.019997,81.900002,81.930000,63.100483,8536000
2014-10-01,81.970001,82.129997,81.970001,82.120003,63.371395,5094500
2014-10-02,82.180000,82.230003,82.040001,82.059998,63.325069,2731500
2014-10-03,81.970001,82.070000,81.919998,82.010002,63.286434,3526900
2014-10-06,82.099998,82.250000,82.050003,82.199997,63.433132,3645800
2014-10-07,82.320000,82.449997,82.260002,82.410004,63.595192,3012400
2014-10-08,82.459999,82.629997,82.290001,82.629997,63.764912,1586800
2014-10-09,82.589996,82.610001,82.459999,82.500000,63.664604,2160900
2014-10-10,82.500000,82.589996,82.480003,82.570000,63.718632,1538200
2014-10-13,82.690002,82.839996,82.669998,82.809998,63.903858,1178400
2014-10-14,82.900002,82.919998,82.790001,82.919998,63.988720,5402700
2014-10-15,83.580002,84.070000,83.010002,83.110001,64.135330,5461400
2014-10-16,83.349998,83.370003,82.910004,82.970001,64.027321,3699800
2014-10-17,82.919998,83.000000,82.809998,82.910004,63.980980,2143400
2014-10-20,83.019997,83.050003,82.919998,82.980003,64.035011,1379300
2014-10-21,82.910004,82.970001,82.839996,82.860001,63.942379,1647700
2014-10-22,82.750000,82.879997,82.739998,82.839996,63.926956,2292400
2014-10-23,82.769997,82.769997,82.540001,82.589996,63.734047,6617200
2014-10-24,82.650002,82.750000,82.599998,82.660004,63.788101,2202100
2014-10-27,82.660004,82.709999,82.599998,82.629997,63.764912,2454200
2014-10-28,82.639999,82.669998,82.570000,82.580002,63.726357,2201200
2014-10-29,82.550003,82.559998,82.339996,82.440002,63.618317,2219900
2014-10-30,82.550003,82.589996,82.470001,82.500000,63.664604,4741900
