Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,42.959999,43.029999,42.630001,42.770000,34.345303,40155800
2014-05-28,42.990002,43.110001,42.840000,43.020000,34.546059,45095400
2014-05-29,43.130001,43.209999,43.020000,43.139999,34.642418,28979600
2014-05-30,42.869999,42.919998,42.459999,42.549999,34.168640,72201700
2014-06-02,42.730000,42.820000,42.650002,42.680000,34.273022,33550800
2014-06-03,42.730000,43.040001,42.720001,42.919998,34.465748,38021700
2014-06-04,42.630001,42.759998,42.560001,42.680000,34.273022,25656100
2014-06-05,43.070000,43.200001,42.900002,43.130001,34.634388,41040500
2014-06-06,43.480000,43.660000,43.410000,43.560001,34.979691,45429100
2014-06-09,43.509998,43.779999,43.509998,43.720001,35.108177,38995600
2014-06-10,43.770000,43.980000,43.709999,43.950001,35.292866,31573300
2014-06-11,43.689999,43.880001,43.680000,43.799999,35.172417,44721500
2014-06-12,43.869999,43.910000,43.450001,43.590000,35.003784,40265500
2014-06-13,43.439999,43.650002,43.349998,43.610001,35.019844,27554000
2014-06-16,43.480000,43.520000,43.279999,43.410000,34.859241,32040700
2014-06-17,43.360001,43.439999,43.240002,43.419998,34.867268,35013500
2014-06-18,43.320000,43.930000,43.189999,43.900002,35.252712,62131500
2014-06-19,43.759998,43.840000,43.520000,43.650002,35.051960,48497900
2014-06-20,43.500000,43.590000,43.400002,43.560001,34.979691,36744000
2014-06-23,43.529999,43.549999,43.320000,43.470001,34.907417,27608300
2014-06-24,43.590000,43.889999,43.360001,43.450001,34.891357,49441000
2014-06-25,43.130001,43.240002,43.000000,43.200001,34.965008,35940200
2014-06-26,43.320000,43.320000,43.099998,43.250000,35.005478,21873800
2014-06-27,43.250000,43.380001,43.119999,43.349998,35.086418,21988900
2014-06-30,43.369999,43.419998,43.200001,43.230000,34.989292,34343200
2014-07-01,43.549999,43.680000,43.529999,43.639999,35.321136,42222400
2014-07-02,43.820000,43.919998,43.790001,43.900002,35.531578,35955800
2014-07-03,43.799999,44.189999,43.770000,44.160000,35.742012,26627100
2014-07-07,44.070000,44.160000,43.980000,44.130001,35.717724,26962800
2014-07-08,44.099998,44.130001,43.840000,43.930000,35.555851,29106700
2014-07-09,43.950001,44.230000,43.900002,44.180000,35.758190,29892600
2014-07-10,43.540001,43.959999,43.430000,43.939999,35.563950,43704000
2014-07-11,43.759998,43.970001,43.730000,43.889999,35.523483,32082600
2014-07-14,44.150002,44.240002,44.070000,44.230000,35.798668,23136700
2014-07-15,44.270000,44.320000,43.990002,44.200001,35.774391,38034000
2014-07-16,44.419998,44.470001,44.250000,44.310001,35.863419,26424000
2014-07-17,44.000000,44.080002,43.400002,43.480000,35.191639,66994900
2014-07-18,44.099998,44.259998,43.939999,44.160000,35.742012,51870700
2014-07-21,43.939999,44.400002,43.919998,44.310001,35.863419,56034400
2014-07-22,44.799999,44.830002,44.700001,44.720001,36.195263,43480300
2014-07-23,44.820000,44.820000,44.660000,44.759998,36.227634,29647900
2014-07-24,44.820000,45.000000,44.770000,44.959999,36.389515,31503700
2014-07-25,44.750000,44.830002,44.639999,44.779999,36.243828,34409200
2014-07-28,44.840000,45.110001,44.759998,45.090000,36.494728,38243200
2014-07-29,45.130001,45.130001,44.790001,44.820000,36.276211,35722000
2014-07-30,45.009998,45.049999,44.389999,44.599998,36.098137,54177600
2014-07-31,44.060001,44.150002,43.660000,43.820000,35.466831,88181200
2014-08-01,43.950001,44.180000,43.650002,44.060001,35.661076,108800800
2014-08-04,44.259998,44.570000,44.080002,44.470001,35.992916,43918900
2014-08-05,44.020000,44.139999,43.650002,43.790001,35.442535,67276000
2014-08-06,43.549999,43.730000,43.439999,43.490002,35.199734,63560700
2014-08-07,43.590000,43.619999,43.139999,43.320000,35.062138,77763500
2014-08-08,43.509998,43.779999,43.330002,43.709999,35.377796,53612400
2014-08-11,43.919998,44.310001,43.889999,44.270000,35.831047,49923100
2014-08-12,44.090000,44.330002,44.040001,44.320000,35.871513,36823500
2014-08-13,44.669998,44.779999,44.439999,44.560001,36.065773,49491900
2014-08-14,44.590000,44.709999,44.529999,44.630001,36.122417,33152100
2014-08-15,44.730000,44.830002,44.279999,44.509998,36.025291,66006100
2014-08-18,44.740002,44.939999,44.639999,44.939999,36.373325,38360500
2014-08-19,44.980000,45.169998,44.959999,45.150002,36.543293,33591600
2014-08-20,44.939999,45.139999,44.860001,45.060001,36.470451,30889600
2014-08-21,44.959999,45.040001,44.810001,44.869999,36.316669,35476300
2014-08-22,44.919998,44.990002,44.580002,44.750000,36.219543,45995800
2014-08-25,44.869999,45.099998,44.810001,45.080002,36.486637,31989900
2014-08-26,45.169998,45.380001,45.150002,45.349998,36.705170,45918400
2014-08-27,45.439999,45.580002,45.340000,45.580002,36.891323,34239100
2014-08-28,44.990002,45.180000,44.939999,45.130001,36.527107,38157700
2014-08-29,45.169998,45.240002,45.000000,45.060001,36.470451,39791500
2014-09-02,45.049999,45.060001,44.880001,44.990002,36.413795,48129000
2014-09-03,45.750000,45.790001,45.500000,45.580002,36.891323,51700200
2014-09-04,45.730000,45.830002,45.340000,45.459999,36.794201,41676700
2014-09-05,45.540001,45.849998,45.419998,45.849998,37.109852,53035700
2014-09-08,45.680000,45.720001,45.220001,45.310001,36.672794,50222700
2014-09-09,45.040001,45.139999,44.560001,44.750000,36.219543,85940600
2014-09-10,44.330002,44.639999,44.230000,44.560001,36.065773,57439600
2014-09-11,44.250000,44.330002,44.189999,44.259998,35.822948,70622500
2014-09-12,43.990002,44.000000,43.639999,43.790001,35.442535,85785600
2014-09-15,43.660000,43.709999,43.439999,43.570000,35.264481,68507800
2014-09-16,43.529999,44.439999,43.500000,44.139999,35.725822,97318600
2014-09-17,44.200001,44.270000,43.720001,43.730000,35.393978,76121700
2014-09-18,43.869999,43.950001,43.730000,43.790001,35.442535,50513900
2014-09-19,43.919998,43.970001,43.349998,43.459999,35.175449,88033100
2014-09-22,43.080002,43.130001,42.610001,42.799999,34.641254,83094000
2014-09-23,42.700001,42.900002,42.500000,42.560001,34.447010,82990700
2014-09-24,42.869999,43.259998,42.660000,43.169998,34.940731,55218900
2014-09-25,42.509998,42.529999,42.119999,42.230000,34.179924,68810700
2014-09-26,42.270000,42.570000,42.209999,42.419998,34.333706,54551800
2014-09-29,41.369999,41.770000,41.360001,41.560001,33.637642,74208400
2014-09-30,41.450001,41.639999,41.360001,41.560001,33.637642,87704500
2014-10-01,41.340000,41.380001,40.700001,40.709999,32.949673,109933300
2014-10-02,40.860001,41.220001,40.369999,40.930000,33.127731,92880600
2014-10-03,41.080002,41.389999,40.889999,41.279999,33.411007,61010900
2014-10-06,42.119999,42.160000,41.810001,41.820000,33.848076,84259600
2014-10-07,41.759998,41.869999,41.450001,41.450001,33.548607,41767500
2014-10-08,41.529999,42.150002,41.060001,42.070000,34.050415,90901600
2014-10-09,41.900002,41.950001,41.270000,41.410000,33.516235,82942800
2014-10-10,40.959999,41.099998,40.470001,40.509998,32.787796,104177200
2014-10-13,41.200001,41.500000,40.900002,40.919998,33.119637,89761000
2014-10-14,41.060001,41.419998,40.840000,41.160000,33.313889,71636700
2014-10-15,40.599998,40.810001,39.779999,40.639999,32.893005,122284500
2014-10-16,39.700001,40.720001,39.680000,40.270000,32.593544,101076200
2014-10-17,40.709999,41.000000,40.480000,40.720001,32.957764,73616400
2014-10-20,40.680000,40.889999,40.590000,40.840000,33.054890,50853900
2014-10-21,40.759998,41.169998,40.730000,41.009998,33.192478,49877200
2014-10-22,40.959999,41.040001,40.599998,40.740002,32.973946,50711600
2014-10-23,40.840000,40.970001,40.680000,40.730000,32.965858,43661600
2014-10-24,40.770000,41.220001,40.740002,41.020000,33.200577,43721100
2014-10-27,40.369999,40.759998,40.279999,40.700001,32.941570,44793200
2014-10-28,41.189999,41.639999,41.180000,41.520000,33.605263,73890500
2014-10-29,41.910000,42.020000,41.320000,41.580002,33.653828,75308700
2014-10-30,41.660000,42.139999,41.660000,41.970001,33.969479,54208200
2014-10-31,42.160000,42.330002,42.000000,42.150002,34.115166,108786100
2014-11-03,42.009998,42.040001,41.700001,41.799999,33.831886,59606600
2014-11-04,41.849998,41.880001,41.549999,41.840000,33.864254,41428100
2014-11-05,41.500000,41.549999,41.230000,41.470001,33.564789,48726600
2014-11-06,41.349998,41.410000,40.939999,40.959999,33.152016,52054400
2014-11-07,41.080002,41.279999,41.009998,41.220001,33.362442,42327500
2014-11-10,41.660000,41.689999,41.299999,41.330002,33.451481,45891600
2014-11-11,41.200001,41.360001,41.139999,41.290001,33.419106,28395000
2014-11-12,41.310001,41.500000,41.169998,41.209999,33.354351,25122300
2014-11-13,41.389999,41.410000,40.990002,41.099998,33.265324,30709800
