Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,39.400002,39.490002,39.320000,39.330002,29.430037,67200
2014-05-28,39.029999,39.189999,38.980000,39.119999,29.272898,48000
2014-05-29,39.139999,39.360001,39.099998,39.270000,29.385145,82900
2014-05-30,39.560001,39.950001,39.450001,39.939999,29.886497,64800
2014-06-02,39.380001,39.480000,39.209999,39.389999,29.474934,52300
2014-06-03,39.590000,39.660000,39.389999,39.439999,29.512348,47500
2014-06-04,39.380001,39.529999,39.299999,39.380001,29.467457,56800
2014-06-05,39.419998,39.910000,39.419998,39.910000,29.864044,97900
2014-06-06,39.139999,39.150002,38.970001,39.080002,29.242970,57900
2014-06-09,38.880001,39.029999,38.770000,38.970001,29.160660,65000
2014-06-10,38.970001,39.130001,38.830002,39.099998,29.257933,72000
2014-06-11,39.150002,39.220001,39.029999,39.119999,29.272898,54300
2014-06-12,39.000000,39.240002,38.930000,39.110001,29.265419,81000
2014-06-13,39.009998,39.160000,38.959999,39.090000,29.250456,55500
2014-06-16,39.090000,39.250000,39.000000,39.250000,29.370180,34700
2014-06-17,39.310001,39.400002,39.310001,39.349998,29.445000,39000
2014-06-18,39.360001,39.590000,39.259998,39.490002,29.549774,67500
2014-06-19,39.790001,39.830002,39.560001,39.639999,29.662008,122600
2014-06-20,39.799999,39.900002,39.470001,39.590000,29.624598,69500
2014-06-23,39.480000,39.619999,39.320000,39.509998,29.564724,52400
2014-06-24,39.560001,39.740002,39.500000,39.639999,29.662008,81700
2014-06-25,39.410000,39.410000,39.080002,39.230000,29.355215,45500
2014-06-26,38.549999,38.599998,38.080002,38.549999,28.846380,106400
2014-06-27,38.270000,38.549999,38.119999,38.259998,28.629372,47100
2014-06-30,38.650002,38.750000,38.439999,38.580002,28.868832,48800
2014-07-01,38.480000,38.590000,38.369999,38.509998,28.816448,49100
2014-07-02,38.119999,38.270000,38.049999,38.209999,28.591965,44600
2014-07-03,38.270000,38.689999,38.230000,38.669998,28.936171,113700
2014-07-07,37.950001,38.060001,37.849998,38.040001,28.464756,64900
2014-07-08,37.860001,37.910000,37.680000,37.700001,28.210339,48500
2014-07-09,37.799999,38.099998,37.740002,38.000000,28.434820,71400
2014-07-10,37.730000,38.040001,37.730000,37.970001,28.412382,46700
2014-07-11,37.720001,38.049999,37.639999,37.869999,28.337543,56400
2014-07-14,38.139999,38.290001,38.029999,38.110001,28.517134,62000
2014-07-15,37.930000,37.930000,37.500000,37.590000,28.128027,51300
2014-07-16,37.820000,37.889999,37.750000,37.750000,28.247751,66800
2014-07-17,37.520000,37.770000,37.259998,37.259998,27.881090,71500
2014-07-18,37.070000,37.520000,37.000000,37.520000,28.075651,58400
2014-07-21,37.419998,37.500000,37.360001,37.439999,28.015779,28900
2014-07-22,37.380001,37.549999,37.270000,37.470001,28.038235,56900
2014-07-23,37.590000,37.660000,37.549999,37.599998,28.135508,64900
2014-07-24,37.759998,37.939999,36.380001,36.500000,27.312393,74700
2014-07-25,35.639999,35.750000,35.330002,35.439999,26.519207,299200
2014-07-28,35.320000,35.470001,35.180000,35.430000,26.511726,287900
2014-07-29,35.389999,35.500000,35.250000,35.310001,26.421938,337800
2014-07-30,34.919998,35.000000,34.610001,34.950001,26.152555,108200
2014-07-31,34.480000,34.529999,34.160000,34.160000,25.561409,99200
2014-08-01,34.470001,34.619999,34.290001,34.470001,25.793377,109100
2014-08-04,34.299999,34.320000,34.029999,34.279999,25.651203,74700
2014-08-05,34.480000,34.730000,34.259998,34.439999,25.770927,69000
2014-08-06,34.169998,34.610001,34.119999,34.529999,25.838276,80500
2014-08-07,34.119999,34.220001,33.720001,33.840000,25.321957,83500
2014-08-08,33.700001,34.200001,33.610001,34.189999,25.583858,76800
2014-08-11,34.430000,34.430000,34.000000,34.000000,25.441689,348100
2014-08-12,34.240002,34.349998,34.110001,34.200001,25.591343,53500
2014-08-13,34.380001,34.459999,34.209999,34.240002,25.621273,39500
2014-08-14,34.230000,34.360001,34.060001,34.110001,25.523994,277500
2014-08-15,34.480000,34.540001,33.700001,33.810001,25.299513,261900
2014-08-18,34.389999,34.459999,34.230000,34.290001,25.658688,118600
2014-08-19,34.430000,34.580002,34.389999,34.560001,25.860727,1046200
2014-08-20,34.360001,34.570000,34.349998,34.470001,25.793377,65900
2014-08-21,34.639999,34.799999,34.570000,34.580002,25.875690,154600
2014-08-22,34.209999,34.330002,34.029999,34.320000,25.681135,1067400
2014-08-25,34.380001,34.799999,34.360001,34.630001,25.913103,64000
2014-08-26,34.990002,35.200001,34.990002,35.020000,26.204933,59600
2014-08-27,35.000000,35.060001,34.910000,34.939999,26.145071,75000
2014-08-28,34.529999,34.799999,34.529999,34.689999,25.957994,219800
2014-08-29,34.549999,34.720001,34.500000,34.660000,25.935553,366000
2014-09-02,34.820000,35.009998,34.740002,35.009998,26.197445,62800
2014-09-03,35.849998,36.029999,35.820000,35.849998,26.826002,106900
2014-09-04,35.619999,35.740002,35.450001,35.509998,26.571589,129900
2014-09-05,35.299999,35.480000,35.270000,35.459999,26.534178,317300
2014-09-08,35.020000,35.270000,34.880001,34.959999,26.160036,326800
2014-09-09,35.049999,35.130001,34.919998,35.020000,26.204933,77600
2014-09-10,34.840000,35.220001,34.840000,35.200001,26.339628,305500
2014-09-11,35.099998,35.369999,35.049999,35.340000,26.444386,313700
2014-09-12,35.060001,35.270000,34.849998,35.080002,26.249832,222700
2014-09-15,35.439999,35.480000,35.270000,35.349998,26.451864,62700
2014-09-16,35.070000,35.360001,35.000000,35.349998,26.451864,88800
2014-09-17,34.869999,34.959999,34.570000,34.650002,25.928068,157300
2014-09-18,34.869999,35.009998,34.869999,35.009998,26.197445,183000
2014-09-19,34.529999,34.680000,34.360001,34.360001,25.711069,210200
2014-09-22,34.090000,34.130001,33.810001,33.939999,25.396784,82800
2014-09-23,33.540001,33.799999,33.500000,33.639999,25.172298,254200
2014-09-24,33.520000,34.049999,33.470001,33.990002,25.434196,66200
2014-09-25,33.500000,33.520000,33.200001,33.270000,24.895437,168200
2014-09-26,33.310001,33.340000,33.169998,33.270000,24.895437,53200
2014-09-29,32.610001,32.779999,32.500000,32.680000,24.453951,236600
2014-09-30,32.470001,32.720001,32.310001,32.389999,24.236944,113500
2014-10-01,32.080002,32.480000,32.029999,32.380001,24.229464,319100
2014-10-02,32.450001,32.500000,31.690001,32.049999,23.982527,285700
2014-10-03,31.950001,32.130001,31.830000,32.130001,24.042387,313200
2014-10-06,32.279999,32.450001,32.070000,32.310001,24.177086,270600
2014-10-07,31.920000,31.980000,31.500000,31.620001,23.660767,256900
2014-10-08,31.889999,32.540001,31.870001,32.500000,24.319256,123700
2014-10-09,32.410000,32.450001,31.809999,31.879999,23.855318,50400
2014-10-10,31.570000,31.809999,31.400000,31.590000,23.638311,388800
2014-10-13,31.660000,31.980000,31.530001,31.600000,23.645798,101400
2014-10-14,31.490000,32.169998,31.469999,31.930000,23.892731,88700
2014-10-15,31.790001,32.360001,31.410000,32.040001,23.975044,135100
2014-10-16,31.299999,31.910000,31.250000,31.650000,23.683212,136300
2014-10-17,31.799999,32.189999,31.559999,31.760000,23.765522,89900
2014-10-20,31.740000,32.090000,31.660000,32.020000,23.960077,126400
2014-10-21,32.110001,32.349998,32.070000,32.189999,24.087286,62100
2014-10-22,32.230000,32.230000,31.790001,31.799999,23.795456,206500
2014-10-23,32.230000,32.500000,32.119999,32.270000,24.147150,153900
2014-10-24,32.570000,32.580002,32.349998,32.549999,24.356670,107100
2014-10-27,32.500000,32.880001,32.480000,32.549999,24.356670,93400
2014-10-28,32.939999,33.240002,32.939999,33.209999,24.850542,173900
2014-10-29,33.549999,33.680000,33.049999,33.130001,24.790680,316600
2014-10-30,32.849998,35.959999,32.849998,33.520000,25.082504,328500
2014-10-31,33.750000,33.889999,33.549999,33.820000,25.306993,257400
2014-11-03,33.720001,33.750000,33.330002,33.549999,25.104954,376500
2014-11-04,33.279999,33.340000,33.000000,33.130001,24.790680,309900
2014-11-05,33.349998,33.500000,33.270000,33.369999,24.970257,77000
2014-11-06,33.590000,33.770000,33.340000,33.480000,25.052580,110700
2014-11-07,33.220001,33.360001,33.020000,33.220001,24.858019,287800
2014-11-10,33.650002,33.740002,33.520000,33.709999,25.224680,70400
2014-11-11,33.840000,34.130001,33.770000,34.099998,25.516514,122800
2014-11-12,33.990002,34.180000,33.799999,33.849998,25.329439,60400
2014-11-13,33.990002,34.400002,33.939999,34.230000,25.613787,132100
2014-11-14,34.060001,34.439999,34.040001,34.380001,25.726036,58300
2014-11-17,34.389999,34.599998,34.320000,34.570000,25.868208,89100
2014-11-18,34.910000,35.060001,34.799999,35.029999,26.212420,96600
2014-11-19,35.240002,35.279999,35.040001,35.139999,26.294729,111600
